epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10114.9,1.15573,1.26008,1.41468,0.598,0.64833,0.67265,0.43353,1.27438,0.97397,1.67164,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,10752,1.1709,1.28089,1.42491,0.5438,0.66918,0.65792,0.42073,1.27324,0.98761,1.67103,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11385.5,1.16503,1.26397,1.4194,0.57334,0.67396,0.67605,0.43382,1.27239,0.97252,1.66882,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,12021.6,1.16424,1.25856,1.41985,0.59125,0.66566,0.67622,0.438,1.26397,0.9727,1.66408,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,12657.8,1.15944,1.2414,1.41923,0.66714,0.60512,0.6781,0.43876,1.26983,0.9688,1.66848,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,13284.8,1.15865,1.23795,1.41572,0.59856,0.6516,0.68636,0.44571,1.26648,0.95032,1.66344,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,13912.7,1.14975,1.21864,1.4083,0.62351,0.64865,0.68974,0.45323,1.27409,0.95691,1.67046,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,14539.5,1.14752,1.19717,1.40615,0.70303,0.59051,0.69261,0.45007,1.27637,0.94878,1.67354,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,15166.7,1.15156,1.19817,1.40771,0.61642,0.64081,0.69508,0.45026,1.27643,0.94315,1.67315,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,15794.5,1.13533,1.18175,1.39805,0.56152,0.68716,0.69052,0.45065,1.27619,0.94155,1.67102,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,16420.9,1.13584,1.1632,1.39888,0.56148,0.70374,0.69254,0.45123,1.27868,0.94047,1.67251,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,17048.7,1.13122,1.16015,1.39583,0.60763,0.63293,0.69205,0.44447,1.28552,0.9436,1.68035,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,17676.3,1.12608,1.15713,1.39233,0.54803,0.69375,0.69228,0.445,1.2809,0.94772,1.67835,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,18302.6,1.12367,1.13456,1.38873,0.57647,0.67322,0.69499,0.44751,1.28252,0.94665,1.68179,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,18927.7,1.12001,1.12611,1.3851,0.6191,0.66012,0.70111,0.45438,1.28081,0.93652,1.68346,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,19555.5,1.11678,1.12573,1.38417,0.61371,0.64802,0.69988,0.45426,1.27897,0.93285,1.68237,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
